Metric,Calculated Location,Cleaned Category,Cleaned Product,2025-May,2025-Apr,2025-Mar,2025-Feb,2025-Jan,2024-Dec,2024-Nov,2024-Oct,2024-Sep,2024-Aug,2024-Jul,2024-Jun,2024-May,2024-Apr,2024-Mar,2024-Feb,2024-Jan,2023-Dec,2023-Nov,2023-Oct,2023-Sep,2023-Aug,2023-Jul,Grand Total,Metric,No
VAT,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,4774,7895,1652,3305,3672,8883,9814,9560,19289,26226,6768,9814,24297,,,,,,,,,,,135948,VAT,568
VAT,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,14850,11286,7020,4320,5130,5796,4284,8568,10584,12348,,,,,,,,,,,,,,84186,VAT,569
VAT,"Supreme HQ, Bandra",Others,Others,0,0,0,0,0,,0,0,,,,0,,,,,,,,,,,,0,VAT,570
VAT,"Supreme HQ, Bandra",Privates,Studio Private Class,2700,,,,8460,,,,,,,,900,,,,,,,,,,,12060,VAT,571
VAT,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,3051,,,,,,,,,,,,,,,,,,,3051,VAT,572
VAT,"Supreme HQ, Bandra",Retail,Retail,6164,7888,9125,2968,1529,2391,1773,6528,6297,4427,2386,1562,8315,,,,,,,,,,,61352,VAT,573
VAT,"Supreme HQ, Bandra",Sessions/Single Classes,Session,21600,18576,13230,8370,10188,10080,7006,12068,6048,3528,1512,252,,,,,,,,,,,,112458,VAT,574
VAT,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,7830,9180,8640,4590,6750,5544,5796,4990,10786,8732,8820,9324,3780,,,,,,,,,,,94761,VAT,575
VAT,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,52979,66331,38705,48038,37744,36038,30267,34243,97598,50402,46298,52583,20264,,,,,,,,,,,611488,VAT,576
VAT,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,1530,3060,2907,,,3924,5508,1377,6678,8262,5094,5301,9360,,,,,,,,,,,53001,VAT,577
VAT,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,57776,116672,34844,61857,34061,66083,25988,37496,64598,39724,25616,25988,12994,,,,,,,,,,,603694,VAT,578
VAT,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,12203,,,13082,13082,12393,,12393,37908,,,,13122,,,,,,,,,,,114182,VAT,579
VAT,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,115558,25245,,,45792,,,,,,,,,,,,,,,,,,186595,VAT,580
Discount Amount,Kenkere House,Class Packages,Studio 10 Single Class Package,,4800,2400,2400,4800,,3300,,2200,2200,,1100,0,,,,,,,,,,,23200,Discount Amount,581
Discount Amount,Kenkere House,Class Packages,Studio 12 Class Package,4375,6875,3750,68750,5000,6215,565,2260,3390,9040,2825,,0,0,0,0,0,4000,2000,,,,,119045,Discount Amount,582
Discount Amount,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,2200,,,,,,,2200,Discount Amount,583
Discount Amount,Kenkere House,Class Packages,Studio 4 Class Package,0,0,,0,0,0,0,0,0,0,810,0,0,0,0,0,0,478,478,,,,,1766,Discount Amount,584
Discount Amount,Kenkere House,Class Packages,Studio 8 Class Package,15355,7055,3320,0,1660,2625,3375,3375,2250,3750,4125,2250,1500,750,0,6000,0,2124,1062,,,,,60576,Discount Amount,585
Discount Amount,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,0,0,0,240,0,0,0,,,,,,,,,,,,,,,,,240,Discount Amount,586
Discount Amount,Kenkere House,Others,Others,0,,,,0,,,,,,,,,,,,,,,,,,,0,Discount Amount,587
Discount Amount,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,0,,,,,,0,Discount Amount,588
Discount Amount,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,0,,,,,,,,,,,,,0,Discount Amount,589
Discount Amount,Kenkere House,Retail,Retail,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,15000,Discount Amount,590
Discount Amount,Kenkere House,Sessions/Single Classes,Session,0,120,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,120,Discount Amount,591
Discount Amount,Kenkere House,Sessions/Single Classes,Studio Single Class,240,240,0,240,240,0,220,0,0,220,0,0,0,0,0,220,0,0,0,,,,,1620,Discount Amount,592
Discount Amount,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,32665,18765,9035,73670,34750,12305,7123,8419,7771,6476,20725,4893,17700,17700,35400,20650,0,3056,3667,,,,,334770,Discount Amount,593
Discount Amount,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,720,Discount Amount,594
Discount Amount,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,8040,20100,56280,32160,6030,7470,26145,20544,11205,0,3735,3735,13073,52290,14941,11206,0,6611,5289,,,,,298854,Discount Amount,595
Discount Amount,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,19575,,11745,,0,14520,,,,,,18150,18150,,,,,,,,,,82140,Discount Amount,596
Discount Amount,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,3300,,,,,,,,,,,,,,,,,,,,,,3300,Discount Amount,597
Discount Amount,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,0,,,,,,,,,,,,,,28200,,33276,33276,,,,,94752,Discount Amount,598
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,10500,33000,9000,4500,6000,54800,1400,7000,7000,7000,,1400,1400,0,,,,,,3304,,4720,,151024,Discount Amount,599
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,5268,29351,20322,13548,6774,2078,6233,4156,49168,0,4156,12468,8312,19392,6234,0,0,13076,9805,0,0,7353,4085,221779,Discount Amount,600
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,3000,6000,,6000,7068,5600,2800,7000,18200,2800,0,,5600,2800,2800,22400,6608,6608,13216,13216,6608,12744,0,151068,Discount Amount,601
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,6750,18000,,20250,6750,4200,,,23100,,,,4200,14200,4200,,9912,4956,,,,7434,,123952,Discount Amount,602
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,1168,Discount Amount,603
Discount Amount,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,11530,15610,2040,0,3060,940,5640,0,0,1410,1880,0,2538,3760,0,0,0,0,2218,0,0,2218,2218,55062,Discount Amount,604
Discount Amount,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,0,,,0,Discount Amount,605
Discount Amount,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,0,Discount Amount,606
Discount Amount,"Kwality House, Kemps Corner",Others,Others,8700,300,0,0,3050,0,0,0,0,2850,0,0,0,0,,0,0,,,,,,,14900,Discount Amount,607
Discount Amount,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,0,0,0,Discount Amount,608
Discount Amount,"Kwality House, Kemps Corner",Privates,Studio Private Class,0,102500,0,5000,30000,70000,,87500,45000,30000,20000,0,0,62000,25000,0,23600,0,23600,23600,11800,0,,559600,Discount Amount,609
Discount Amount,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,0,,4500,0,,18000,,,,,,,0,,0,0,0,0,0,0,,0,22500,Discount Amount,610
Discount Amount,"Kwality House, Kemps Corner",Retail,Retail,0,0,0,0,0,0,0,650,0,0,0,341,0,337,1100,0,0,682,0,0,342,341,0,3793,Discount Amount,611
Discount Amount,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,300,0,600,0,0,0,0,0,0,0,0,0,0,0,0,280,0,,0,0,330,0,,1510,Discount Amount,612
Discount Amount,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,0,300,300,0,0,0,0,0,280,280,0,0,0,0,280,560,1320,0,0,0,0,767,0,4087,Discount Amount,613
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,12964,61842,17540,207404,21354,9976,13539,21380,34917,11402,24230,14988,6414,37766,19954,29954,28584,26904,57174,16815,3363,21802,5046,705312,Discount Amount,614
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,0,0,0,0,850,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,2969,Discount Amount,615
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,8700,70778,13050,6525,37050,24450,6188,57546,63940,26813,6188,26814,26814,42682,6188,0,40692,43370,36505,14602,17037,85179,29204,690315,Discount Amount,616
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,0,0,,0,0,0,0,,,,,0,0,0,0,,,0,,0,,,,0,Discount Amount,617
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,51300,81225,38475,51300,42750,89250,12150,16200,24300,,,32400,32400,125100,28350,17441,,9558,,19116,20580,16550,,708445,Discount Amount,618
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,112131,37881,,74250,127200,,,39750,,,,,31800,,,37524,298316,,,,145048,,903900,Discount Amount,619
Discount Amount,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,1325,,,1325,,1325,,0,,1325,1325,1325,,0,,,,,,7950,Discount Amount,620
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,22500,19500,12000,12000,4500,51400,7000,20300,35000,12600,4200,21000,,,,,,,,,,,,222000,Discount Amount,621
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,4516,11290,24085,4516,18064,8312,13160,12468,8311,3740,10390,45716,23684,,,,,,,,,,,188252,Discount Amount,622
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,6000,9000,15400,2800,4200,11200,2800,2800,,,,,,,,,,,,,54200,Discount Amount,623
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,4200,,,,,,,,,,,,,,,,,4200,Discount Amount,624
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,0,0,0,0,0,0,990,1980,0,0,0,0,0,,,,,,,,,,,2970,Discount Amount,625
Discount Amount,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,4080,7140,1020,2040,0,7050,1880,3290,5640,4700,0,1880,15416,,,,,,,,,,,54136,Discount Amount,626
Discount Amount,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,0,300,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,300,Discount Amount,627
Discount Amount,"Supreme HQ, Bandra",Others,Others,0,0,0,0,0,,0,0,,,,0,,,,,,,,,,,,0,Discount Amount,628
Discount Amount,"Supreme HQ, Bandra",Privates,Studio Private Class,0,,,,8000,,,,,,,,0,,,,,,,,,,,8000,Discount Amount,629
Discount Amount,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,4204,,,,,,,,,,,,,,,,,,,4204,Discount Amount,630
Discount Amount,"Supreme HQ, Bandra",Retail,Retail,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,Discount Amount,631
Discount Amount,"Supreme HQ, Bandra",Sessions/Single Classes,Session,0,300,0,0,300,0,280,280,0,0,0,0,,,,,,,,,,,,1160,Discount Amount,632
Discount Amount,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,0,0,0,0,0,0,0,280,280,490,0,0,0,,,,,,,,,,,1050,Discount Amount,633
Discount Amount,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,27454,71465,26691,99131,34320,27794,17103,23517,56298,19242,27794,35632,1425,,,,,,,,,,,467866,Discount Amount,634
Discount Amount,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,0,0,850,,,0,0,0,0,0,0,0,0,,,,,,,,,,,850,Discount Amount,635
Discount Amount,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,27021,134827,23925,4350,28275,45376,20626,39188,53628,26813,22689,14438,10313,,,,,,,,,,,451469,Discount Amount,636
Discount Amount,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,17703,,,12825,12825,12150,,12150,32400,,,,8100,,,,,,,,,,,108153,Discount Amount,637
Discount Amount,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,183012,24750,,,63600,,,,,,,,,,,,,,,,,,271362,Discount Amount,638
Discount Percentage,Kenkere House,Class Packages,Studio 10 Single Class Package,,9.4%,21.2%,4.5%,9.4%,,5.4%,,21.2%,9.4%,,9.4%,0.0%,,,,,,,,,,,8.1%,Discount Percentage,639
Discount Percentage,Kenkere House,Class Packages,Studio 12 Class Package,18.0%,7.2%,9.4%,40.5%,7.4%,7.2%,1.1%,3.5%,9.4%,5.6%,4.5%,,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,8.1%,,,,,10.0%,Discount Percentage,640
Discount Percentage,Kenkere House,Class Packages,Studio 20 Single Class Package,,,,,,,,,,,,,,,,,11.1%,,,,,,,11.1%,Discount Percentage,641
Discount Percentage,Kenkere House,Class Packages,Studio 4 Class Package,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.4%,3.6%,,,,,0.5%,Discount Percentage,642
Discount Percentage,Kenkere House,Class Packages,Studio 8 Class Package,14.1%,4.5%,3.9%,0.0%,2.9%,3.9%,3.3%,4.5%,3.3%,3.7%,4.5%,4.5%,3.5%,9.4%,0.0%,6.6%,0.0%,4.2%,13.6%,,,,,4.3%,Discount Percentage,643
Discount Percentage,Kenkere House,Intro Offers,Studio Newcomers 2 For 1,0.0%,0.0%,0.0%,4.5%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,0.5%,Discount Percentage,644
Discount Percentage,Kenkere House,Others,Others,0.0%,,,,0.0%,,,,,,,,,,,,,,,,,,,0.0%,Discount Percentage,645
Discount Percentage,Kenkere House,Others,Test,,,,,,,,,,,,,,,,,,0.0%,,,,,,0.0%,Discount Percentage,646
Discount Percentage,Kenkere House,Privates,Studio Private Class,,,,,,,,,,,0.0%,,,,,,,,,,,,,0.0%,Discount Percentage,647
Discount Percentage,Kenkere House,Retail,Retail,0.0%,0.0%,86.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,4.5%,Discount Percentage,648
Discount Percentage,Kenkere House,Sessions/Single Classes,Session,0.0%,0.4%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,0.0%,Discount Percentage,649
Discount Percentage,Kenkere House,Sessions/Single Classes,Studio Single Class,0.6%,0.4%,0.0%,0.3%,0.2%,0.0%,0.4%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,,,,,0.1%,Discount Percentage,650
Discount Percentage,Kenkere House,Unlimited Memberships,Studio 1 Month Unlimited,12.7%,11.9%,12.7%,44.0%,10.3%,8.0%,6.3%,4.9%,3.8%,7.7%,9.4%,4.2%,12.0%,10.9%,12.0%,16.1%,0.0%,7.1%,13.6%,,,,,11.5%,Discount Percentage,651
Discount Percentage,Kenkere House,Unlimited Memberships,Studio 2 Week Unlimited,0.0%,0.0%,0.0%,0.0%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,0.1%,Discount Percentage,652
Discount Percentage,Kenkere House,Unlimited Memberships,Studio 3 Month Unlimited,21.2%,28.2%,21.2%,21.2%,15.0%,4.5%,13.8%,10.5%,9.4%,0.0%,9.4%,9.4%,11.2%,21.2%,13.0%,15.0%,0.0%,17.6%,13.6%,,,,,14.1%,Discount Percentage,653
Discount Percentage,Kenkere House,Unlimited Memberships,Studio 6 Month Unlimited,,28.2%,,15.0%,,0.0%,21.2%,,,,,,28.2%,28.2%,,,,,,,,,,19.1%,Discount Percentage,654
Discount Percentage,Kenkere House,Unlimited Memberships,Studio 6 Week Unlimited,,15.0%,,,,,,,,,,,,,,,,,,,,,,15.0%,Discount Percentage,655
Discount Percentage,Kenkere House,Unlimited Memberships,Studio Annual Unlimited,,0.0%,,,,,,,,,,,,,,21.2%,,25.0%,25.0%,,,,,16.5%,Discount Percentage,656
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 10 Single Class Package,7.3%,31.1%,9.1%,9.4%,9.4%,29.9%,4.5%,7.7%,7.7%,9.4%,,9.4%,9.4%,0.0%,,,,,,25.0%,,17.4%,,14.8%,Discount Percentage,657
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 12 Class Package,4.1%,7.5%,6.9%,8.4%,4.5%,3.3%,5.1%,5.4%,17.4%,0.0%,4.5%,6.3%,5.4%,7.1%,5.8%,0.0%,0.0%,12.9%,8.1%,0.0%,0.0%,9.9%,14.3%,6.7%,Discount Percentage,658
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 20 Single Class Package,9.4%,9.4%,,9.4%,11.3%,9.4%,9.4%,12.1%,12.7%,9.4%,0.0%,,9.4%,9.4%,9.4%,19.4%,7.1%,11.1%,11.1%,11.3%,11.1%,9.0%,0.0%,10.6%,Discount Percentage,659
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 30 Single Class Package,15.0%,21.2%,,15.0%,15.0%,9.4%,,,10.5%,,,,9.4%,17.2%,9.4%,,11.1%,11.1%,,,,17.6%,,13.4%,Discount Percentage,660
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 4 Class Package,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,0.0%,0.1%,Discount Percentage,661
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,Studio 8 Class Package,10.8%,23.7%,2.2%,0.0%,3.3%,0.8%,4.0%,0.0%,0.0%,0.8%,0.8%,0.0%,2.1%,1.9%,0.0%,0.0%,0.0%,0.0%,5.3%,0.0%,0.0%,1.6%,7.1%,2.1%,Discount Percentage,662
Discount Percentage,"Kwality House, Kemps Corner",Class Packages,The Burn Package,,,,,,,,,,,,,,,,,,,,,0.0%,,,0.0%,Discount Percentage,663
Discount Percentage,"Kwality House, Kemps Corner",Intro Offers,Studio Newcomers 2 For 1,,0.0%,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,,,,,,,,,,,,,0.0%,Discount Percentage,664
Discount Percentage,"Kwality House, Kemps Corner",Others,Others,140.5%,4.4%,0.0%,0.0%,193.7%,0.0%,0.0%,0.0%,0.0%,259.6%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,,,,46.2%,Discount Percentage,665
Discount Percentage,"Kwality House, Kemps Corner",Others,Test,,,,,,,,,,,,,,,,,,,,,,0.0%,0.0%,0.0%,Discount Percentage,666
Discount Percentage,"Kwality House, Kemps Corner",Privates,Studio Private Class,0.0%,33.7%,0.0%,2.9%,23.8%,42.4%,,31.9%,52.6%,12.1%,8.9%,0.0%,0.0%,16.9%,10.3%,0.0%,8.3%,0.0%,16.0%,22.2%,5.1%,0.0%,,15.5%,Discount Percentage,667
Discount Percentage,"Kwality House, Kemps Corner",Privates,Virtual Private Class,,0.0%,,2.9%,0.0%,,18.8%,,,,,,,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,2.7%,Discount Percentage,668
Discount Percentage,"Kwality House, Kemps Corner",Retail,Retail,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4%,0.0%,0.0%,0.0%,2.3%,0.0%,1.0%,6.7%,0.0%,0.0%,2.3%,0.0%,0.0%,2.3%,0.8%,0.0%,0.5%,Discount Percentage,669
Discount Percentage,"Kwality House, Kemps Corner",Sessions/Single Classes,Session,0.4%,0.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.1%,0.0%,,0.0%,0.0%,1.5%,0.0%,,0.2%,Discount Percentage,670
Discount Percentage,"Kwality House, Kemps Corner",Sessions/Single Classes,Studio Single Class,0.0%,0.4%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.3%,0.0%,0.0%,0.0%,0.0%,0.3%,0.6%,0.9%,0.0%,0.0%,0.0%,0.0%,1.4%,0.0%,0.3%,Discount Percentage,671
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 1 Month Unlimited,4.1%,11.4%,9.9%,43.7%,8.1%,3.2%,5.0%,8.8%,7.5%,3.1%,5.5%,5.6%,2.6%,6.9%,7.6%,8.5%,8.8%,8.7%,14.4%,5.6%,2.3%,7.8%,11.1%,9.6%,Discount Percentage,672
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 2 Week Unlimited,0.0%,0.0%,0.0%,0.0%,1.1%,0.0%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.1%,0.4%,Discount Percentage,673
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited,2.9%,14.7%,6.9%,2.2%,10.1%,8.7%,6.9%,25.7%,9.1%,10.3%,4.5%,10.3%,16.4%,14.7%,6.9%,0.0%,26.4%,14.6%,12.7%,14.8%,13.2%,17.1%,17.6%,11.6%,Discount Percentage,674
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 3 Month Unlimited - Monthly,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,,0.0%,,0.0%,,,,0.0%,Discount Percentage,675
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio 6 Month Unlimited,21.2%,19.9%,15.0%,21.2%,16.9%,15.6%,15.0%,21.2%,15.0%,,,13.0%,21.2%,20.3%,11.2%,23.3%,,5.3%,,11.1%,27.4%,20.5%,,17.1%,Discount Percentage,676
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited,,24.8%,25.3%,,24.6%,21.2%,,,28.2%,,,,,21.2%,,,25.0%,36.1%,,,,63.0%,,30.1%,Discount Percentage,677
Discount Percentage,"Kwality House, Kemps Corner",Unlimited Memberships,Studio Annual Unlimited - Monthly,,,,,9.4%,,,9.4%,,9.4%,,0.0%,,9.4%,9.4%,9.4%,,0.0%,,,,,,6.1%,Discount Percentage,678
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 10 Single Class Package,9.5%,10.3%,9.4%,9.4%,9.4%,19.1%,9.4%,11.6%,9.1%,9.4%,9.4%,9.4%,,,,,,,,,,,,10.9%,Discount Percentage,679
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 12 Class Package,1.3%,4.2%,10.1%,6.9%,15.0%,6.9%,8.0%,7.6%,6.1%,3.4%,8.8%,15.0%,10.9%,,,,,,,,,,,7.9%,Discount Percentage,680
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 20 Single Class Package,,,,9.4%,9.4%,10.5%,4.5%,15.0%,9.4%,9.4%,9.4%,,,,,,,,,,,,,9.4%,Discount Percentage,681
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 30 Single Class Package,,,,,,,9.4%,,,,,,,,,,,,,,,,,9.4%,Discount Percentage,682
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 4 Class Package,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,6.1%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,0.7%,Discount Percentage,683
Discount Percentage,"Supreme HQ, Bandra",Class Packages,Studio 8 Class Package,13.0%,13.8%,9.4%,9.4%,0.0%,12.1%,2.9%,5.2%,4.5%,2.7%,0.0%,2.9%,9.7%,,,,,,,,,,,6.1%,Discount Percentage,684
Discount Percentage,"Supreme HQ, Bandra",Intro Offers,Studio Newcomers 2 For 1,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,0.1%,Discount Percentage,685
Discount Percentage,"Supreme HQ, Bandra",Others,Others,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,,0.0%,,,,,,,,,,,,0.0%,Discount Percentage,686
Discount Percentage,"Supreme HQ, Bandra",Privates,Studio Private Class,0.0%,,,,14.4%,,,,,,,,0.0%,,,,,,,,,,,10.1%,Discount Percentage,687
Discount Percentage,"Supreme HQ, Bandra",Privates,Virtual Private Class,,,,,21.0%,,,,,,,,,,,,,,,,,,,21.0%,Discount Percentage,688
Discount Percentage,"Supreme HQ, Bandra",Retail,Retail,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,0.0%,Discount Percentage,689
Discount Percentage,"Supreme HQ, Bandra",Sessions/Single Classes,Session,0.0%,0.2%,0.0%,0.0%,0.4%,0.0%,0.6%,0.4%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,0.2%,Discount Percentage,690
Discount Percentage,"Supreme HQ, Bandra",Sessions/Single Classes,Studio Single Class,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,0.4%,0.9%,0.0%,0.0%,0.0%,,,,,,,,,,,0.2%,Discount Percentage,691
Discount Percentage,"Supreme HQ, Bandra",Unlimited Memberships,Studio 1 Month Unlimited,7.9%,16.4%,10.5%,31.5%,13.9%,11.8%,8.6%,10.5%,8.8%,6.0%,9.2%,10.3%,1.1%,,,,,,,,,,,11.7%,Discount Percentage,692
Discount Percentage,"Supreme HQ, Bandra",Unlimited Memberships,Studio 2 Week Unlimited,0.0%,0.0%,4.5%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,0.2%,Discount Percentage,693
Discount Percentage,"Supreme HQ, Bandra",Unlimited Memberships,Studio 3 Month Unlimited,7.1%,17.6%,10.5%,1.1%,12.7%,10.5%,12.1%,15.9%,12.7%,10.3%,13.5%,8.5%,12.1%,,,,,,,,,,,11.4%,Discount Percentage,694
Discount Percentage,"Supreme HQ, Bandra",Unlimited Memberships,Studio 6 Month Unlimited,22.1%,,,15.0%,15.0%,15.0%,,15.0%,13.0%,,,,9.4%,,,,,,,,,,,14.4%,Discount Percentage,695
Discount Percentage,"Supreme HQ, Bandra",Unlimited Memberships,Studio Annual Unlimited,,24.2%,15.0%,,,21.2%,,,,,,,,,,,,,,,,,,22.2%,Discount Percentage,696
Discounted Transactions,Kenkere House,Class Packages,Studio 10 Single Class Package,,4,1,2,3,,3,,1,2,,1,,,,,,,,,,,,17,Discounted Transactions,697
